HOLE:	U1513E
EXPEDITION:	369
TOP:	497.7244
BOTTOM:	582.3572
DEPTH_WMSF	HROM	HLEF	HBDC	HDEB
m	g/cm3	barns/e-	g/cm3	g/cm3
509.9164	1.953376	20.72304	-0.001812715	1.954898
509.9418	1.954255	21.05991	-0.003014889	1.945135
509.9672	1.956475	18.67723	-0.004709108	1.94388
509.9926	1.95768	17.96667	-0.004733654	1.943557
510.0180	1.953074	19.52198	-0.005472376	1.945401
510.0434	1.945431	20.82975	-0.008397672	1.947922
510.0688	1.938949	21.29808	-0.01086103	1.94786
510.0942	1.939873	20.03127	-0.01169086	1.946954
510.1196	1.950954	18.65439	-0.01043105	1.946155
510.1450	1.955841	18.98211	-0.009751064	1.945671
510.1704	1.948621	20.95357	-0.01111649	1.946898
510.1958	1.94339	20.45316	-0.01175781	1.948838
510.2212	1.942073	19.21258	-0.01195984	1.949193
510.2466	1.947634	17.49974	-0.01133887	1.947677
510.2720	1.953234	17.76919	-0.008949927	1.947461
510.2974	1.953461	17.12517	-0.006918299	1.951835
510.3228	1.945319	15.69337	-0.007270834	1.95936
510.3482	1.947125	16.66562	-0.007377354	1.956117
510.3736	1.950759	18.97919	-0.005502528	1.951946
510.3990	1.948895	21.97023	-0.003236688	1.952358
510.4244	1.932176	20.1557	-0.004202436	1.961506
510.4498	1.915339	18.04998	-0.004494595	1.965449
510.4752	1.901379	16.22487	-0.002951041	1.954087
510.5006	1.895596	16.5594	-0.001260431	1.947012
510.5260	1.898988	16.63582	0.005033081	1.956373
510.5514	1.928631	16.57234	0.02218578	1.967794
510.5768	1.961747	17.77105	0.03206099	1.973115
510.6022	1.990447	18.36818	0.03962035	1.969061
510.6276	2.003758	17.57067	0.04656426	1.969071
510.6530	1.991789	17.92842	0.04754925	1.981442
510.6784	1.981339	17.75902	0.04823963	1.986005
510.7038	1.978855	16.32889	0.05104066	1.985231
510.7292	1.977611	15.53876	0.05265051	1.981778
510.7546	1.978434	15.56602	0.05374631	1.978882
510.7800	1.98463	17.47949	0.05480267	1.975104
510.8054	1.979743	17.18926	0.05151109	1.970635
510.8308	1.971974	16.61702	0.04785719	1.96573
510.8562	1.954801	15.80892	0.0417056	1.960807
510.8816	1.947462	15.33289	0.0419598	1.956444
510.9070	1.943335	18.85368	0.04488895	1.956823
510.9324	1.943596	22.70664	0.04738104	1.962231
510.9578	1.953423	22.83717	0.04739298	1.971302
510.9832	1.982146	18.80566	0.05146759	1.978634
511.0086	2.009701	16.33097	0.05436894	1.983998
